正在生成 10000 道四则运算题目 (数值范围: [0, 100))...
生成完毕！
  - 题目文件已生成: Exercises.txt (10000 题)
  - 答案文件已生成: Answers.txt (10000 题)
         2468628 function calls (2307884 primitive calls) in 1.144 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     18/1    0.000    0.000    1.144    1.144 {built-in method builtins.exec}
        1    0.000    0.000    1.143    1.143 main.py:1(<module>)
        1    0.001    0.001    1.131    1.131 main.py:71(main)
        1    0.001    0.001    1.125    1.125 main.py:27(run_generate_mode)
        1    0.053    0.053    1.051    1.051 generator.py:183(generate_exercises)
50108/10006    0.117    0.000    0.649    0.000 generator.py:89(generate_tree)
    30080    0.067    0.000    0.320    0.000 generator.py:36(random_leaf)
    90205    0.035    0.000    0.213    0.000 random.py:332(randint)
    90205    0.074    0.000    0.178    0.000 random.py:291(randrange)
50030/10000    0.052    0.000    0.156    0.000 tree.py:66(to_infix)
    40015    0.060    0.000    0.141    0.000 fraction_utils.py:10(format_fraction)
   140313    0.081    0.000    0.124    0.000 random.py:242(_randbelow_with_getrandbits)
    50108    0.038    0.000    0.094    0.000 random.py:341(choice)
    44929    0.034    0.000    0.090    0.000 fractions.py:931(_richcmp)
    34608    0.015    0.000    0.084    0.000 fractions.py:953(__lt__)
50048/10006    0.062    0.000    0.081    0.000 tree.py:109(canonical_repr)
    20151    0.014    0.000    0.065    0.000 fractions.py:613(forward)
    30080    0.044    0.000    0.058    0.000 fractions.py:186(__new__)
        1    0.008    0.008    0.052    0.052 validator.py:43(validate_exercises)
    66207    0.023    0.000    0.050    0.000 {built-in method builtins.isinstance}
    10000    0.006    0.000    0.038    0.000 validator.py:33(count_operators)
50048/10006    0.025    0.000    0.030    0.000 tree.py:55(count_operators)
    44929    0.013    0.000    0.027    0.000 <frozen abc>:117(__instancecheck__)
   270615    0.025    0.000    0.025    0.000 {built-in method _operator.index}
    10000    0.025    0.000    0.025    0.000 {method 'sub' of 're.Pattern' objects}
   213647    0.023    0.000    0.023    0.000 {method 'getrandbits' of '_random.Random' objects}
        2    0.010    0.005    0.021    0.011 main.py:20(save_lines)
   140313    0.020    0.000    0.020    0.000 {method 'bit_length' of 'int' objects}
    20151    0.013    0.000    0.017    0.000 fractions.py:317(_from_coprime_ints)
     5214    0.003    0.000    0.016    0.000 fraction_utils.py:115(is_true_fraction)
     26/3    0.000    0.000    0.016    0.005 <frozen importlib._bootstrap>:1349(_find_and_load)
     26/3    0.000    0.000    0.016    0.005 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     25/3    0.000    0.000    0.015    0.005 <frozen importlib._bootstrap>:911(_load_unlocked)
     17/3    0.000    0.000    0.015    0.005 <frozen importlib._bootstrap_external>:989(exec_module)
   150126    0.014    0.000    0.014    0.000 tree.py:51(is_leaf)
    44929    0.014    0.000    0.014    0.000 {built-in method _abc._abc_instancecheck}
121470/121358    0.014    0.000    0.014    0.000 {built-in method builtins.len}
     5214    0.008    0.000    0.014    0.000 fractions.py:758(_div)
     54/5    0.000    0.000    0.013    0.003 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     5091    0.002    0.000    0.013    0.000 fractions.py:961(__le__)
     5037    0.007    0.000    0.012    0.000 fractions.py:742(_mul)
     5230    0.002    0.000    0.012    0.000 fractions.py:957(__gt__)
    61970    0.012    0.000    0.012    0.000 {built-in method math.gcd}
    50269    0.011    0.000    0.011    0.000 {built-in method __new__ of type object at 0xa44b40}
     4999    0.006    0.000    0.011    0.000 fractions.py:726(_sub)
     4901    0.006    0.000    0.011    0.000 fractions.py:710(_add)
   109864    0.010    0.000    0.010    0.000 fractions.py:401(denominator)
        1    0.000    0.000    0.010    0.010 {built-in method builtins.__import__}
        1    0.000    0.000    0.010    0.010 __init__.py:1(<module>)
